,Food,Mines,Oil,Clths,Durbl,Chems,Cnsum,Cnstr,Steel,FabPr,Machn,Cars,Trans,Utils,Rtail,Finan,Other
1990-07-01,0.004,0.0931,0.08259999999999999,-0.0374,-0.047599999999999996,0.0037,0.029500000000000002,0.0048,0.0571,-0.0168,-0.0366,-0.0275,-0.031400000000000004,0.009000000000000001,-0.0362,-0.0472,-0.0406
1990-08-01,-0.06709999999999999,-0.0699,-0.0123,-0.1578,-0.08109999999999999,-0.1281,-0.07200000000000001,-0.11720000000000001,-0.10220000000000001,-0.1259,-0.12710000000000002,-0.1371,-0.1259,-0.0664,-0.1288,-0.1099,-0.1057
1990-09-01,-0.032799999999999996,-0.0143,-0.0163,-0.1434,-0.07769999999999999,-0.0673,-0.0458,-0.0888,-0.061399999999999996,-0.0965,-0.0742,-0.10800000000000001,-0.0759,0.0048,-0.09369999999999999,-0.1142,-0.0371
1990-10-01,0.0462,-0.1607,-0.039900000000000005,-0.08449999999999999,-0.0475,0.0118,0.0285,-0.0666,-0.1142,-0.031,-0.0467,-0.0264,-0.0018,0.0722,-0.0297,-0.0716,-0.0003
1990-11-01,0.052199999999999996,-0.0213,0.0168,0.1326,0.1033,0.0987,0.08470000000000001,0.102,0.029300000000000003,0.0801,0.0964,0.0277,0.048,0.0231,0.1116,0.14300000000000002,0.0553
1990-12-01,0.0414,0.09449999999999999,-0.0202,0.0801,0.022400000000000003,0.03,0.031200000000000002,0.047599999999999996,0.0795,0.0109,0.0464,-0.015300000000000001,0.047400000000000005,0.0079,0.0285,0.0554,0.0365
1991-01-01,0.0401,-0.0875,-0.020499999999999997,0.1604,0.0849,0.058499999999999996,0.0199,0.08259999999999999,0.0817,0.11449999999999999,0.12480000000000001,0.0665,0.0946,-0.0137,0.1067,0.0722,0.0513
1991-02-01,0.1151,0.0852,0.0862,0.1463,0.0794,0.058899999999999994,0.0894,0.12240000000000001,0.0668,0.058499999999999996,0.0642,0.10830000000000001,0.031200000000000002,0.0484,0.0821,0.1082,0.0548
1991-03-01,0.0603,-0.0158,0.0137,0.042800000000000005,0.0449,0.0012,0.042300000000000004,-0.0001,0.0052,0.0403,-0.0043,-0.012,0.0004,0.0172,0.0967,0.0583,0.0298
1991-04-01,-0.0178,0.0070999999999999995,0.0256,0.0183,-0.0132,0.0346,-0.0076,0.0024,-0.0013,0.0043,-0.023799999999999998,-0.0217,0.0147,-0.0005,0.0194,0.0178,0.0034999999999999996
1991-05-01,0.0339,0.0144,-0.0128,0.0302,0.0555,0.09960000000000001,0.0408,0.0839,0.0424,0.0647,0.0582,0.1582,0.0673,0.0015,0.07769999999999999,0.0467,0.030600000000000002
1991-06-01,-0.0484,0.0738,-0.0383,-0.015600000000000001,-0.0584,-0.036699999999999997,-0.0447,-0.0458,-0.047400000000000005,-0.0009,-0.0771,-0.035,-0.0401,-0.023700000000000002,-0.049,-0.053399999999999996,-0.038
1991-07-01,0.0663,-0.021099999999999997,0.0512,0.0579,0.0361,0.053099999999999994,0.07730000000000001,0.053399999999999996,0.0446,0.0416,0.0297,-0.0121,0.052300000000000006,0.039900000000000005,0.0507,0.0575,0.0345
1991-08-01,0.0583,-0.062400000000000004,0.012,0.0599,0.0504,0.0085,0.0325,0.036000000000000004,0.0079,0.0286,0.0129,-0.0319,0.0131,0.0352,0.04190000000000001,0.0446,0.0207
